Epoch,Overall Acc,Safe,Red Light,Pedestrian,Vehicle,Obstacle
1,14.96%,37.43%,44.28%,31.96%,0.38%,76.69%
2,25.36%,49.46%,29.65%,46.66%,16.42%,59.40%
3,20.23%,58.05%,45.27%,58.24%,1.98%,36.09%
4,19.22%,43.67%,50.76%,53.34%,1.56%,70.68%
5,20.38%,45.57%,42.95%,63.25%,3.49%,71.43%
6,27.51%,74.95%,43.88%,64.03%,10.12%,30.83%
7,27.74%,65.64%,52.15%,56.12%,10.85%,50.38%
8,26.75%,70.98%,50.76%,50.45%,9.29%,60.15%
9,29.85%,68.90%,54.20%,49.89%,13.78%,60.90%
10,30.13%,62.57%,50.23%,59.24%,15.02%,57.14%
11,34.14%,60.31%,43.48%,63.03%,22.86%,54.14%
12,31.60%,66.73%,53.14%,57.24%,16.23%,55.64%
13,32.64%,-,-,-,-,-
14,35.04%,-,-,-,-,-
15,39.25%,-,-,-,-,-
16,38.48%,-,-,-,-,-
17,41.41%,-,-,-,-,-
18,40.80%,-,-,-,-,-
19,41.58%,-,-,-,-,-
20,41.35%,-,-,-,-,-
21,43.67%,-,-,-,-,-
22,35.28%,-,-,-,-,-
23,40.35%,-,-,-,-,-
24,38.61%,-,-,-,-,-
25,41.59%,-,-,-,-,-
26,41.56%,70.07%,48.78%,58.46%,32.34%,48.87%
27,47.52%,66.73%,46.72%,63.81%,42.30%,36.09%
28,41.03%,73.33%,51.75%,61.47%,29.82%,48.12%
29,45.19%,73.87%,52.22%,57.35%,36.90%,40.60%
30,43.47%,68.99%,53.67%,59.69%,34.24%,46.62%
31,44.36%,72.69%,51.42%,65.26%,34.92%,38.35%
32,44.69%,67.72%,56.52%,61.58%,35.52%,42.86%
33,47.29%,72.60%,57.58%,56.46%,39.47%,31.58%
34,48.50%,70.43%,56.25%,56.01%,42.05%,35.34%
35,49.39%,72.24%,56.45%,59.58%,42.77%,26.32%
36,48.51%,71.16%,53.67%,62.81%,41.80%,25.56%
37,48.73%,73.51%,56.98%,58.80%,41.26%,37.59%
38,47.86%,76.31%,53.01%,63.59%,39.83%,30.08%
39,52.69%,73.69%,54.47%,57.02%,48.49%,29.32%
40,50.70%,73.87%,54.86%,59.69%,44.95%,24.81%
41,49.77%,74.68%,59.03%,56.79%,42.82%,21.80%
42,51.47%,74.77%,55.26%,60.24%,45.83%,24.81%
43,50.96%,74.77%,54.53%,61.69%,45.03%,23.31%
44,51.18%,75.68%,55.53%,59.58%,45.28%,23.31%
45,51.60%,74.32%,57.05%,59.58%,45.80%,24.06%
46,51.69%,74.59%,56.32%,58.91%,46.17%,23.31%
47,51.56%,-,-,-,-,-
48,51.60%,-,-,-,-,-
49,51.53%,-,-,-,-,-
50,51.41%,-,-,-,-,-
