sample_idx,image,image_id,obj_id,given_label,given_label_idx,box,occluded,truncated,predicted_label,predicted_label_idx,predicted_confidence,pred_probs,self_confidence,margin,normalized_margin,latency_ms,is_error,reason_code
0,cabc30fc-e7726578.jpg,cabc30fc-e7726578,0,traffic sign,9,"[574, 376, 600, 415]",False,False,traffic light,8,0.838865339756012,"{'pedestrian': 0.08435113728046417, 'rider': 1.874403068313768e-07, 'car': 0.043748773634433746, 'truck': 1.1517057828314137e-05, 'bus': 6.204353667271789e-06, 'train': 4.4675221033685375e-07, 'motorcycle': 1.2715431694232393e-06, 'bicycle': 1.0280588185196393e-06, 'traffic light': 0.838865339756012, 'traffic sign': 0.03301411122083664}",0.03301411122083664,0.8058512285351753,0.9606443255476035,82461.39089999997,False,accepted
1,cabc30fc-e7726578.jpg,cabc30fc-e7726578,1,traffic sign,9,"[653, 404, 666, 422]",False,False,traffic light,8,0.8422733545303345,"{'pedestrian': 0.10632797330617905, 'rider': 1.5965110833349172e-07, 'car': 0.01568959839642048, 'truck': 8.255754437413998e-06, 'bus': 4.567965333990287e-06, 'train': 3.674923334529012e-07, 'motorcycle': 1.3131972309565754e-06, 'bicycle': 8.493416316923685e-07, 'traffic light': 0.8422733545303345, 'traffic sign': 0.03569354861974716}",0.03569354861974716,0.8065798059105873,0.9576223699494204,69619.43250000013,False,accepted
2,cabc30fc-e7726578.jpg,cabc30fc-e7726578,2,car,2,"[736, 432, 752, 443]",True,False,traffic light,8,0.6562501788139343,"{'pedestrian': 0.2603084146976471, 'rider': 7.986002970028494e-07, 'car': 0.07017232477664948, 'truck': 9.493752259004395e-06, 'bus': 6.801061317673884e-06, 'train': 5.014642283640569e-07, 'motorcycle': 3.728665205926518e-06, 'bicycle': 1.219500404658902e-06, 'traffic light': 0.6562501788139343, 'traffic sign': 0.01324651949107647}",0.07017232477664948,0.5860778540372849,0.8930707723333888,74008.63470000013,False,accepted
3,cabc30fc-e7726578.jpg,cabc30fc-e7726578,3,car,2,"[725, 429, 742, 451]",True,False,traffic light,8,0.7935985922813416,"{'pedestrian': 0.13519452512264252, 'rider': 2.0545749634948152e-07, 'car': 0.03929637372493744, 'truck': 8.457787771476433e-06, 'bus': 4.915190856991103e-06, 'train': 3.771942260755168e-07, 'motorcycle': 1.946462134583271e-06, 'bicycle': 7.892773510320694e-07, 'traffic light': 0.7935985922813416, 'traffic sign': 0.031893786042928696}",0.03929637372493744,0.7543022185564041,0.950483312209548,71722.21489999993,False,accepted
4,cabc30fc-e7726578.jpg,cabc30fc-e7726578,4,car,2,"[642, 426, 661, 444]",True,False,traffic light,8,0.8974310755729675,"{'pedestrian': 0.023264117538928986, 'rider': 5.025892235721585e-08, 'car': 0.010969632305204868, 'truck': 6.620027761528036e-06, 'bus': 2.5320914573967457e-06, 'train': 1.974526782078101e-07, 'motorcycle': 7.594384214826277e-07, 'bicycle': 3.7997767776687397e-07, 'traffic light': 0.8974310755729675, 'traffic sign': 0.0683245062828064}",0.010969632305204868,0.8864614432677627,0.987776629755994,67594.7415999999,False,accepted
5,cabc30fc-e7726578.jpg,cabc30fc-e7726578,5,car,2,"[612, 428, 657, 462]",True,False,traffic light,8,0.8622622489929199,"{'pedestrian': 0.006034441292285919, 'rider': 1.6287474480236597e-08, 'car': 0.010298033244907856, 'truck': 5.366551249608165e-06, 'bus': 1.8704462263485766e-06, 'train': 1.2633779533643974e-07, 'motorcycle': 3.700632760228473e-07, 'bicycle': 2.1534648908527743e-07, 'traffic light': 0.8622622489929199, 'traffic sign': 0.12139725685119629}",0.010298033244907856,0.8519642157480121,0.9880569591711391,66156.93280000005,False,accepted
6,cabc30fc-e7726578.jpg,cabc30fc-e7726578,6,car,2,"[654, 414, 734, 487]",False,False,traffic light,8,0.8186957240104675,"{'pedestrian': 0.027123436331748962, 'rider': 4.0330053963089085e-08, 'car': 0.062163542956113815, 'truck': 7.758290848869365e-06, 'bus': 3.880505119013833e-06, 'train': 2.3780157221153786e-07, 'motorcycle': 7.449454528796196e-07, 'bicycle': 4.4070264948459226e-07, 'traffic light': 0.8186957240104675, 'traffic sign': 0.09200415760278702}",0.062163542956113815,0.7565321810543537,0.924070028542962,67077.39380000021,False,accepted
7,cabc30fc-e7726578.jpg,cabc30fc-e7726578,7,car,2,"[462, 404, 593, 508]",False,False,car,2,0.9441230893135071,"{'pedestrian': 0.020195916295051575, 'rider': 1.2799986848222034e-07, 'car': 0.9441230893135071, 'truck': 5.585424787568627e-06, 'bus': 2.430235326755792e-06, 'train': 1.8203765250746073e-07, 'motorcycle': 5.278577646095073e-07, 'bicycle': 2.3836020091039245e-07, 'traffic light': 0.035517144948244095, 'traffic sign': 0.0001545885024825111}",0.9441230893135071,0.0,0.0,66796.52510000006,False,accepted
8,cabc30fc-e772657xxxx.jpg,cabc30fc-e772657xxxx,0,traffic sign,9,"[574, 376, 600, 415]",False,False,car,2,0.8821926712989807,"{'pedestrian': 0.021117398515343666, 'rider': 5.678696766153735e-07, 'car': 0.8821926712989807, 'truck': 1.688862539594993e-05, 'bus': 2.6096606688952306e-06, 'train': 4.816029104404151e-07, 'motorcycle': 2.6546779281488853e-06, 'bicycle': 5.049128617429233e-07, 'traffic light': 0.09656625986099243, 'traffic sign': 9.981005132431164e-05}",9.981005132431164e-05,0.8820928612476564,0.9998868613914267,64360.33369999996,False,accepted
9,cabc30fc-e772657xxxx.jpg,cabc30fc-e772657xxxx,1,traffic sign,9,"[653, 404, 666, 422]",False,False,car,2,0.8449093103408813,"{'pedestrian': 0.029835261404514313, 'rider': 6.376401415764121e-07, 'car': 0.8449093103408813, 'truck': 1.7948028471437283e-05, 'bus': 3.4876227346103406e-06, 'train': 4.6963754130047164e-07, 'motorcycle': 3.838705652015051e-06, 'bicycle': 8.577342214266537e-07, 'traffic light': 0.12506727874279022, 'traffic sign': 0.0001607020676601678}",0.0001607020676601678,0.8447486082732212,0.999809799625009,62723.81889999997,False,accepted
10,cabc30fc-e772657xxxx.jpg,cabc30fc-e772657xxxx,2,car,2,"[736, 432, 752, 443]",True,False,car,2,0.8520419597625732,"{'pedestrian': 0.027539709582924843, 'rider': 1.144988345913589e-06, 'car': 0.8520419597625732, 'truck': 2.017552287725266e-05, 'bus': 3.837295480479952e-06, 'train': 5.103864282318682e-07, 'motorcycle': 3.127671106994967e-06, 'bicycle': 1.0679326578610926e-06, 'traffic light': 0.1202162578701973, 'traffic sign': 0.0001721119333524257}",0.8520419597625732,0.0,0.0,64791.706400000294,False,accepted
11,cabc30fc-e772657xxxx.jpg,cabc30fc-e772657xxxx,3,car,2,"[725, 429, 742, 451]",True,False,car,2,0.9145269989967346,"{'pedestrian': 0.019933106377720833, 'rider': 8.6112896724444e-07, 'car': 0.9145269989967346, 'truck': 1.8830476619768888e-05, 'bus': 3.7409731703519356e-06, 'train': 4.734418439511501e-07, 'motorcycle': 2.842906269506784e-06, 'bicycle': 9.622541483622626e-07, 'traffic light': 0.06542599201202393, 'traffic sign': 8.616999548394233e-05}",0.9145269989967346,0.0,0.0,67420.34699999976,False,accepted
12,cabc30fc-e772657xxxx.jpg,cabc30fc-e772657xxxx,4,car,2,"[642, 426, 661, 444]",True,False,car,2,0.9327360391616821,"{'pedestrian': 0.018052473664283752, 'rider': 5.556860287470045e-07, 'car': 0.9327360391616821, 'truck': 1.3563509128289297e-05, 'bus': 2.630805738590425e-06, 'train': 3.733988478415995e-07, 'motorcycle': 3.30308193952078e-06, 'bicycle': 7.27249300780386e-07, 'traffic light': 0.04914721101522446, 'traffic sign': 4.298963176552206e-05}",0.9327360391616821,0.0,0.0,69021.2378000001,False,accepted
13,cabc30fc-e772657xxxx.jpg,cabc30fc-e772657xxxx,5,car,2,"[612, 428, 657, 462]",True,False,car,2,0.9855160117149353,"{'pedestrian': 0.005188002251088619, 'rider': 2.481640706264443e-07, 'car': 0.9855160117149353, 'truck': 1.00744591691182e-05, 'bus': 1.636702450014127e-06, 'train': 2.340713791681992e-07, 'motorcycle': 1.9415242604736704e-06, 'bicycle': 3.4249549685227976e-07, 'traffic light': 0.009274989366531372, 'traffic sign': 6.292698344623204e-06}",0.9855160117149353,0.0,0.0,66085.72080000021,False,accepted
14,cabc30fc-e772657xxxx.jpg,cabc30fc-e772657xxxx,6,car,2,"[654, 414, 734, 487]",False,False,car,2,0.9947415590286255,"{'pedestrian': 0.0019407684449106455, 'rider': 1.0815794837526482e-07, 'car': 0.9947415590286255, 'truck': 6.775526344426908e-06, 'bus': 1.1782119599956786e-06, 'train': 1.4802512282585667e-07, 'motorcycle': 9.857463965090574e-07, 'bicycle': 1.8404814738914865e-07, 'traffic light': 0.0033058510161936283, 'traffic sign': 2.5088800157391233e-06}",0.9947415590286255,0.0,0.0,62287.57899999982,False,accepted
15,cabc30fc-e772657xxxx.jpg,cabc30fc-e772657xxxx,7,car,2,"[462, 404, 593, 508]",False,False,car,2,0.9985356330871582,"{'pedestrian': 0.0008084925939328969, 'rider': 2.99108862122921e-08, 'car': 0.9985356330871582, 'truck': 2.628540869409335e-06, 'bus': 2.7853823780787934e-07, 'train': 5.2092083535626443e-08, 'motorcycle': 2.800024958560243e-07, 'bicycle': 3.9092338255386494e-08, 'traffic light': 0.0006525840726681054, 'traffic sign': 1.932114059854939e-07}",0.9985356330871582,0.0,0.0,65719.78310000032,False,accepted
16,cabc30fc-eb673c5a.jpg,cabc30fc-eb673c5a,0,car,2,"[0, 296, 272, 529]",False,True,car,2,0.9966142773628235,"{'pedestrian': 4.3795811421887265e-08, 'rider': 9.82285433548391e-11, 'car': 0.9966142773628235, 'truck': 0.0028329729102551937, 'bus': 0.000552799494471401, 'train': 2.5040542084298067e-08, 'motorcycle': 1.599397414508985e-08, 'bicycle': 8.095401682339798e-09, 'traffic light': 4.861891333973745e-09, 'traffic sign': 1.4012632720827867e-10}",0.9966142773628235,0.0,0.0,69734.93729999973,False,accepted
17,cabc30fc-eb673c5a.jpg,cabc30fc-eb673c5a,1,car,2,"[312, 401, 433, 480]",False,False,car,2,0.8312402367591858,"{'pedestrian': 0.00024660301278345287, 'rider': 2.144155075711751e-08, 'car': 0.8312402367591858, 'truck': 0.004494792781770229, 'bus': 0.001545939827337861, 'train': 2.077316594295553e-06, 'motorcycle': 9.19320882530883e-07, 'bicycle': 1.737550974212354e-06, 'traffic light': 0.15699152648448944, 'traffic sign': 0.00547613063827157}",0.8312402367591858,0.0,0.0,65766.63979999967,False,accepted
18,cabc30fc-eb673c5a.jpg,cabc30fc-eb673c5a,2,car,2,"[647, 428, 663, 462]",True,False,traffic light,8,0.8190521597862244,"{'pedestrian': 1.3135098924976774e-05, 'rider': 3.782520074935292e-09, 'car': 0.0013270744821056724, 'truck': 0.00018237504991702735, 'bus': 0.00023201349540613592, 'train': 1.0070449434351758e-06, 'motorcycle': 1.3848986668563157e-07, 'bicycle': 4.0083082808450854e-07, 'traffic light': 0.8190521597862244, 'traffic sign': 0.1791917234659195}",0.0013270744821056724,0.8177250853041187,0.9983797436265206,65918.21680000021,False,accepted
