sample_idx,image,image_id,obj_id,given_label,given_label_idx,box,occluded,truncated,predicted_label,predicted_label_idx,predicted_confidence,pred_probs,self_confidence,margin,normalized_margin,latency_ms,is_error,reason_code
0,cabc30fc-e7726578.jpg,cabc30fc-e7726578,0,traffic sign,9,"[574, 376, 600, 415]",False,False,traffic light,8,0.8395465612411499,"{'pedestrian': 0.0843118205666542, 'rider': 1.92470565707481e-07, 'car': 0.04299291595816612, 'truck': 1.1534240002220031e-05, 'bus': 6.237286470422987e-06, 'train': 4.528326655872661e-07, 'motorcycle': 1.276662374039006e-06, 'bicycle': 1.0328064945497317e-06, 'traffic light': 0.8395465612411499, 'traffic sign': 0.033128008246421814}",0.033128008246421814,0.8064185529947281,0.9605405944401144,66331.74020000001,True,mismatch_high_margin
1,cabc30fc-e7726578.jpg,cabc30fc-e7726578,1,traffic sign,9,"[653, 404, 666, 422]",False,False,traffic light,8,0.84218829870224,"{'pedestrian': 0.10632067173719406, 'rider': 1.631365904586346e-07, 'car': 0.015563643537461758, 'truck': 8.28460633783834e-06, 'bus': 4.611165422829799e-06, 'train': 3.732346840479295e-07, 'motorcycle': 1.316502789450169e-06, 'bicycle': 8.546360845684831e-07, 'traffic light': 0.84218829870224, 'traffic sign': 0.03591179847717285}",0.03591179847717285,0.8062765002250671,0.9573589439172799,64538.468500000134,True,mismatch_high_margin
2,cabc30fc-e7726578.jpg,cabc30fc-e7726578,2,car,2,"[736, 432, 752, 443]",True,False,traffic light,8,0.6536844968795776,"{'pedestrian': 0.26206356287002563, 'rider': 8.44301609959075e-07, 'car': 0.07111011445522308, 'truck': 9.551951734465547e-06, 'bus': 6.897698767716065e-06, 'train': 5.117306045576697e-07, 'motorcycle': 3.7837817217223346e-06, 'bicycle': 1.2406110272422666e-06, 'traffic light': 0.6536844968795776, 'traffic sign': 0.01311904564499855}",0.07111011445522308,0.5825743824243546,0.8912164587126149,64013.434799999915,True,mismatch_high_margin
3,cabc30fc-e7726578.jpg,cabc30fc-e7726578,3,car,2,"[725, 429, 742, 451]",True,False,traffic light,8,0.7918280363082886,"{'pedestrian': 0.1368129402399063, 'rider': 2.1542234662774717e-07, 'car': 0.03965923190116882, 'truck': 8.492412234772928e-06, 'bus': 4.969298970536329e-06, 'train': 3.8525487866536423e-07, 'motorcycle': 1.974035740204272e-06, 'bicycle': 7.998600040082238e-07, 'traffic light': 0.7918280363082886, 'traffic sign': 0.03168296813964844}",0.03965923190116882,0.7521688044071198,0.9499143373527532,64205.40430000005,True,mismatch_high_margin
4,cabc30fc-e7726578.jpg,cabc30fc-e7726578,4,car,2,"[642, 426, 661, 444]",True,False,traffic light,8,0.8972113728523254,"{'pedestrian': 0.02387496456503868, 'rider': 5.254403134813401e-08, 'car': 0.0110635282471776, 'truck': 6.661060069745872e-06, 'bus': 2.570885499153519e-06, 'train': 2.024232088615463e-07, 'motorcycle': 7.74299735439854e-07, 'bicycle': 3.859553032725671e-07, 'traffic light': 0.8972113728523254, 'traffic sign': 0.06783944368362427}",0.0110635282471776,0.8861478446051478,0.987668983494931,64075.55720000005,True,mismatch_high_margin
5,cabc30fc-e7726578.jpg,cabc30fc-e7726578,5,car,2,"[612, 428, 657, 462]",True,False,traffic light,8,0.8628158569335938,"{'pedestrian': 0.006236483808606863, 'rider': 1.6999678109641536e-08, 'car': 0.010459455661475658, 'truck': 5.4095448831503745e-06, 'bus': 1.9011757785847294e-06, 'train': 1.2976711616374814e-07, 'motorcycle': 3.7917990880487196e-07, 'bicycle': 2.187884007298635e-07, 'traffic light': 0.8628158569335938, 'traffic sign': 0.12048022449016571}",0.010459455661475658,0.8523564012721181,0.9878775342647873,64323.30509999997,True,mismatch_high_margin
6,cabc30fc-e7726578.jpg,cabc30fc-e7726578,6,car,2,"[654, 414, 734, 487]",False,False,traffic light,8,0.8174495697021484,"{'pedestrian': 0.02813826873898506, 'rider': 4.215301530052784e-08, 'car': 0.0634259358048439, 'truck': 7.809651833667886e-06, 'bus': 3.942271177947987e-06, 'train': 2.4431321321571886e-07, 'motorcycle': 7.628896696587617e-07, 'bicycle': 4.479616109165363e-07, 'traffic light': 0.8174495697021484, 'traffic sign': 0.09097293019294739}",0.0634259358048439,0.7540236338973045,0.9224099710175954,63934.11100000003,True,mismatch_high_margin
8,cabc30fc-e772657xxxx.jpg,cabc30fc-e772657xxxx,0,traffic sign,9,"[574, 376, 600, 415]",False,False,car,2,0.8806776404380798,"{'pedestrian': 0.020984413102269173, 'rider': 5.781889740319457e-07, 'car': 0.8806776404380798, 'truck': 1.7268359442823566e-05, 'bus': 2.657701770658605e-06, 'train': 4.807436653209152e-07, 'motorcycle': 2.648815325301257e-06, 'bicycle': 5.175276100999326e-07, 'traffic light': 0.0982099175453186, 'traffic sign': 0.00010385966015746817}",0.00010385966015746817,0.8805737807779224,0.9998820684716081,63503.20099999999,True,mismatch_low_self_confidence
9,cabc30fc-e772657xxxx.jpg,cabc30fc-e772657xxxx,1,traffic sign,9,"[653, 404, 666, 422]",False,False,car,2,0.8424981236457825,"{'pedestrian': 0.029565876349806786, 'rider': 6.377565000548202e-07, 'car': 0.8424981236457825, 'truck': 1.838983916968573e-05, 'bus': 3.5679579468705924e-06, 'train': 4.6844382950439467e-07, 'motorcycle': 3.822964117716765e-06, 'bicycle': 8.772054229666537e-07, 'traffic light': 0.12773938477039337, 'traffic sign': 0.0001686845935182646}",0.0001686845935182646,0.8423294390522642,0.9997997804519869,65550.9970999999,True,mismatch_high_margin
18,cabc30fc-eb673c5a.jpg,cabc30fc-eb673c5a,2,car,2,"[647, 428, 663, 462]",True,False,traffic light,8,0.8196089267730713,"{'pedestrian': 1.3339384167920798e-05, 'rider': 3.957507210827771e-09, 'car': 0.0012853845255449414, 'truck': 0.0001774112315615639, 'bus': 0.00022394180996343493, 'train': 9.827419944485882e-07, 'motorcycle': 1.3993680170187872e-07, 'bicycle': 4.0641307919031533e-07, 'traffic light': 0.8196089267730713, 'traffic sign': 0.17868942022323608}",0.0012853845255449414,0.8183235422475263,0.9984317099490293,70544.28690000031,True,mismatch_low_self_confidence
